Results for Merging Angle: 5
Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
172.41999999982863,170.73999999982905,172.41999999982863,0.0,3.639999999999901,0.0,137.47387755091106,135.0601612902171,139.9474380164158,47.199563575240674,47.50015738479728,46.760430975352456,0.20828020062922928,0.10574430345210985,0.10286491541280303,245.0,124.0,121.0
172.4399999998286,170.71999999982913,172.4399999998286,0.0,4.2999999999998195,0.0,141.09593495924113,140.39058823518565,141.75685039359254,45.62274101027962,45.72600104882855,45.51585463489833,0.20883561411267204,0.10202856799910714,0.10781350809881848,246.0,119.0,127.0
173.37999999982785,172.01999999982795,173.37999999982785,0.0,4.520000000000774,0.0,142.17405622478879,143.37266666655373,141.0590697673327,45.97132740066308,43.51248234185389,48.11922098897495,0.21027918996078626,0.10133936865580061,0.10946117946549476,249.0,120.0,129.0
172.33999999982868,169.67999999983007,172.33999999982868,0.0,0.0,0.0,142.47377049169373,139.42999999989345,145.51754098349386,43.70438295019004,45.092197954722984,42.051287544049,0.2075253453087039,0.10456664838185736,0.10376267265435195,244.0,122.0,122.0
174.15999999982714,171.39999999982857,174.15999999982714,0.0,3.519999999999836,0.0,137.00271604927246,137.93555555544336,136.13650793639934,47.694253236563036,46.18220666792784,49.040697907867084,0.20606841810702092,0.09921812723671378,0.10725960228827591,243.0,117.0,126.0
173.39999999982766,171.25999999982864,173.39999999982766,0.0,4.739999999999892,0.0,140.31902040805335,138.58555555544766,142.1544537814004,47.16368955134625,47.031656656553665,47.23379725204432,0.20736001083364028,0.10664229128587215,0.10220733487939412,245.0,126.0,119.0
172.23999999984844,170.91999999989386,172.23999999984844,0.0,0.0,4.899999999999864,138.6284210525239,135.9808264461752,141.1709523808428,45.136473580675165,47.031525589877326,43.08564859626323,0.2102270792906442,0.10330931320658454,0.10724134409158367,247.0,121.0,126.0
171.67999999982928,170.87999999982893,171.67999999982928,0.0,0.0,4.839999999999808,138.33665306111428,133.37455999989447,143.50549999988488,47.046526586919526,50.56396164067334,42.466057737261224,0.2074688796681875,0.1065389335879609,0.1016174104497245,245.0,125.0,120.0
173.73999999982743,171.95999999989726,173.73999999982743,0.0,0.0,3.1399999999998442,144.3383539093555,142.1011570246856,146.557213114643,45.13092450035123,46.57658485233976,43.53644196662731,0.20644657026843247,0.10279849795259394,0.10406182295849534,243.0,121.0,122.0
173.69999999982753,170.49999999982938,173.69999999982753,0.0,1.9799999999998974,0.0,134.63133603227845,133.27008264451996,135.93857142845926,51.02146219269663,50.343929989254356,51.6299743244725,0.20841067872706148,0.10209591953835805,0.10681768086953289,247.0,121.0,126.0
